epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,106.67,2.19343,2.97404,2.92475,0.55544,0.64472,0.62308,0.33446,1.92717,3.07064,2.82387,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149
51,108.779,2.12269,3.07838,2.76859,0.61722,0.6091,0.66693,0.34963,1.89446,3.06877,2.81498,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,110.894,2.14316,2.97166,2.82165,0.53763,0.68543,0.66228,0.33864,1.94482,3.14291,2.79908,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951
53,113.047,2.20055,2.95945,2.81319,0.53634,0.58451,0.64519,0.34336,1.96208,3.17535,2.80136,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
54,115.162,2.19888,3.20339,2.79749,0.58986,0.58371,0.65753,0.36587,1.93484,3.15801,2.78184,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753
55,117.271,2.0401,2.8343,2.77826,0.56862,0.60223,0.66518,0.37797,1.91348,3.01831,2.76025,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
56,119.39,2.08543,3.00598,2.78848,0.74174,0.55556,0.67512,0.38184,1.87517,2.95942,2.73934,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
57,121.502,2.0817,2.98668,2.82334,0.82382,0.51901,0.67418,0.39088,1.85894,2.97721,2.72093,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
58,123.619,2.01116,2.7599,2.63412,0.64304,0.57554,0.68955,0.39851,1.84602,2.96913,2.71578,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357
59,125.744,2.04455,2.9956,2.64695,0.62894,0.6223,0.68696,0.39379,1.84358,2.97733,2.70157,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
60,127.855,2.03074,2.95062,2.75407,0.60833,0.68959,0.70904,0.39655,1.82685,2.93926,2.68238,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159
61,129.946,2.07727,2.8434,2.69902,0.77437,0.61263,0.73908,0.40547,1.77368,2.8498,2.64643,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
62,132.058,2.00705,2.75351,2.64295,0.71577,0.67659,0.70882,0.40688,1.71351,2.86203,2.61101,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961
