epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,118.585,2.67675,3.54209,3.11323,0.72651,0.4484,0.50862,0.25829,2.01061,3.79995,3.04554,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
57,120.676,2.72813,3.56932,3.16585,0.82609,0.40183,0.51219,0.26038,1.96671,3.82221,3.00078,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
58,122.778,2.57467,3.28061,3.06856,0.78927,0.42759,0.50839,0.24965,1.95327,3.7325,2.98127,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357
59,124.859,2.56974,3.45656,3.05859,0.78295,0.43906,0.53484,0.27546,1.95572,3.71702,2.97509,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
60,126.938,2.55344,3.36831,3.14946,0.83307,0.45327,0.5586,0.28189,1.96617,3.77836,2.96591,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159
61,129.039,2.61111,3.43966,3.06988,0.83657,0.45175,0.5763,0.28535,1.96606,3.67692,2.96536,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
62,131.143,2.59971,3.27477,3.01858,0.81392,0.45954,0.56948,0.28154,1.96781,3.55001,2.94982,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961
63,133.232,2.52285,3.23206,2.97221,0.80146,0.4309,0.55416,0.27404,1.97968,3.5116,2.93315,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
64,135.31,2.46435,3.19163,2.95056,0.82184,0.45525,0.56621,0.28504,1.97214,3.45179,2.91909,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763
65,137.388,2.4442,3.15147,2.95948,0.64369,0.45679,0.56709,0.28289,1.94349,3.41762,2.90695,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
66,139.476,2.53941,3.39465,2.93523,0.55674,0.54374,0.59691,0.29765,1.90621,3.3686,2.89049,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
67,141.564,2.58526,3.49974,3.04007,0.68013,0.5558,0.62945,0.31151,1.88819,3.29315,2.87547,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
68,143.651,2.40603,3.30814,2.91496,0.56505,0.58652,0.61849,0.30454,1.88592,3.28216,2.86161,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367
69,145.722,2.42072,3.24904,2.87699,0.52853,0.57555,0.61551,0.30478,1.86105,3.2484,2.84164,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
70,147.809,2.41008,3.137,2.90355,0.5336,0.53466,0.62496,0.31173,1.87278,3.23022,2.82917,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169
71,149.907,2.40327,3.1511,2.87051,0.58682,0.55926,0.63743,0.31413,1.87754,3.19853,2.82241,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
72,151.993,2.33942,3.14492,2.85395,0.65688,0.53347,0.63847,0.31899,1.84657,3.20554,2.8108,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971
73,154.101,2.50165,3.15769,2.84533,0.70522,0.52043,0.63848,0.3194,1.82067,3.18792,2.79415,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
74,156.191,2.40777,3.16118,2.85844,0.65068,0.51499,0.62812,0.32174,1.7983,3.18445,2.79163,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773
75,158.299,2.37623,3.07269,2.82409,0.55922,0.52969,0.62586,0.32789,1.7688,3.17292,2.77401,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
76,160.398,2.27989,3.06283,2.77598,0.54389,0.58795,0.62271,0.3357,1.74286,3.19151,2.75165,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575
77,162.489,2.33871,3.18609,2.81283,0.56977,0.58669,0.63503,0.34215,1.73771,3.19046,2.7357,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
78,164.588,2.22063,2.84146,2.80377,0.54843,0.55967,0.63687,0.33281,1.73588,3.17517,2.73256,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377
79,166.698,2.27817,2.9398,2.77606,0.578,0.53901,0.64027,0.34137,1.73991,3.17341,2.7217,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
80,168.986,2.39536,3.06983,2.79197,0.60995,0.53903,0.64695,0.33469,1.75682,3.12348,2.71879,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179
81,171.133,2.40973,3.1954,2.83069,0.60847,0.57296,0.64588,0.33643,1.77485,3.08618,2.7242,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
82,173.219,2.35147,3.00786,2.79663,0.64415,0.56479,0.64008,0.33743,1.77237,3.11078,2.71498,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981
83,175.3,2.34582,3.14775,2.86756,0.63578,0.56226,0.6355,0.34311,1.75642,3.12999,2.70652,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
84,177.414,2.13602,2.88636,2.69717,0.6582,0.5446,0.63832,0.35127,1.7323,3.14425,2.70012,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783
85,179.565,2.28196,2.91567,2.79627,0.66004,0.53182,0.64489,0.35438,1.7253,3.15405,2.69508,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
86,181.68,2.20841,3.12798,2.75794,0.65487,0.54616,0.65108,0.36152,1.71847,3.13241,2.68842,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585
87,183.797,2.20398,2.81571,2.71316,0.6056,0.55296,0.65644,0.35673,1.73249,3.13301,2.69376,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
88,185.878,2.2355,3.00411,2.79749,0.63963,0.58375,0.66251,0.36066,1.74929,3.09969,2.69408,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387
89,187.956,2.2128,2.91063,2.71996,0.69959,0.63442,0.70109,0.36433,1.75705,3.0834,2.6931,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
90,190.061,2.27759,3.06421,2.73653,0.71596,0.60411,0.69126,0.3604,1.74037,3.09394,2.69204,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189
91,192.348,2.00187,3.15772,2.78981,0.60376,0.61784,0.66425,0.36054,1.75121,3.09921,2.68676,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
92,194.522,2.01321,3.13993,2.81971,0.59478,0.67727,0.67237,0.36807,1.74065,3.11374,2.67425,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05
93,196.63,2.0581,3.15861,2.81962,0.62034,0.68323,0.68058,0.37099,1.72002,3.1042,2.65726,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
94,198.754,2.05592,3.19787,2.79162,0.65267,0.67806,0.68323,0.36496,1.69766,3.06468,2.63507,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05
95,200.868,1.95546,3.12488,2.76743,0.64034,0.69302,0.68316,0.36602,1.6916,3.04897,2.63168,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
96,202.964,1.99955,3.15742,2.76999,0.6404,0.68928,0.67576,0.36586,1.68869,3.03336,2.62584,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05
97,205.067,2.03066,3.21587,2.85856,0.65477,0.68181,0.67695,0.36491,1.68808,3.05203,2.62137,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
98,207.165,1.98584,3.07317,2.80347,0.64162,0.6683,0.67461,0.36117,1.68211,3.049,2.62068,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05
99,209.266,1.95137,3.08563,2.76867,0.59328,0.68725,0.66441,0.36121,1.68748,3.05815,2.6245,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05
100,211.385,1.98314,3.10488,2.80978,0.6338,0.70544,0.66813,0.35908,1.69432,3.05206,2.63017,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05
